Search Criteria,Product Description,Brand,Rating,Similarity,Price,Price Currency,Product URL,Product ID
"Маска для лица Little Devil "" Anti-age "" с муцином улитки 23мл",N/A,Little Devil,N/A,19.35483870967742,88,RUB,https://goldapple.ru/19000030607-anti-aging-mask-with-papaya-extract,19000030607
"Женский дезодорант - антиперспирант Repute "" Tact "" 50мл",N/A,Repute,5,10.714285714285714,202,RUB,https://goldapple.ru/19000188568-tact,19000188568
"Женский дезодорант - антиперспирант Repute "" Tact "" 50мл",N/A,Repute,3.2,10.714285714285714,202,RUB,https://goldapple.ru/19000188569-pure,19000188569
"Женский дезодорант - антиперспирант Repute "" Pure "" 50мл",N/A,Repute,3.2,10.714285714285714,202,RUB,https://goldapple.ru/19000188569-pure,19000188569
"Тканевая маска для лица Planeta Organica ""УСПОКАИВАЮЩАЯ"", 30 г",N/A,Planeta Organica,4.5,25.806451612903224,103,RUB,https://goldapple.ru/19000141647-pure-uspokaivausaa,19000141647
"Тканевая маска для лица Planeta Organica ""УСПОКАИВАЮЩАЯ"", 30 г",N/A,Planeta Organica,5,25.806451612903224,118,RUB,https://goldapple.ru/19000141648-pure-24-casa-uvlaznenia,19000141648
Выравнивающая маска для лица Consly Radiance Papaya с экстрактом папайи 20мл,N/A,CONSLY,4.5,0,60,RUB,https://goldapple.ru/19760310836-papaya-radiance-mask-pack,19760310836
Увлажняющий шампунь для волос Planeta Organica Pure для чувствительной кожи 400мл,N/A,Planeta Organica,4.4,19.753086419753085,223,RUB,https://goldapple.ru/19000141660-pure-uvlaznausij,19000141660
Увлажняющий шампунь для волос Planeta Organica Pure для чувствительной кожи 400мл,N/A,Planeta Organica,4.1,19.753086419753085,223,RUB,https://goldapple.ru/19000141659-pure,19000141659
Увлажняющий шампунь для волос Planeta Organica Pure для чувствительной кожи 400мл,N/A,Planeta Organica,N/A,19.753086419753085,277,RUB,https://goldapple.ru/19760305566-hair-super-food-moisturizing,19760305566
"Крем для лица Planeta Organica Pure "" питание и Молодость "" 50мл",N/A,Planeta Organica,4.4,25,210,RUB,https://goldapple.ru/19000141632-pure-uspokaivausij,19000141632
"Крем для лица Planeta Organica Pure "" питание и Молодость "" 50мл",N/A,Planeta Organica,4.6,25,335,RUB,https://goldapple.ru/19000141637-pure-lipidovosstanavlivausij,19000141637
"Крем для лица Planeta Organica Pure "" питание и Молодость "" 50мл",N/A,Planeta Organica,4.6,25,275,RUB,https://goldapple.ru/19000141630-pure-omolazivausij,19000141630
"Шампунь для волос Alerana "" Плотность и Объем "" 250мл",N/A,RICH,N/A,0,1250,RUB,https://goldapple.ru/19000068604-volumising-shampoo,19000068604
"Шампунь для волос Alerana "" Плотность и Объем "" 250мл",N/A,Moroccanoil,N/A,0,3050,RUB,https://goldapple.ru/24690100018-extra-volume-shampoo,24690100018
"Шампунь для волос Alerana "" Плотность и Объем "" 250мл",N/A,Letique Cosmetics,N/A,0,351,RUB,https://goldapple.ru/19000166701-ob-em-i-uplotnenie,19000166701
"Тушь для ресниц Luxvisage 3D effect "" объём - длина - Ультра черная "" 10г",N/A,LUXVISAGE,4.6,0,293,RUB,https://goldapple.ru/19000025871-xxl-dlina-izgib-ob-em,19000025871
"Тушь для ресниц Luxvisage 3D effect "" объём - длина - Ультра черная "" 10г",N/A,LUXVISAGE,3.7,0,233,RUB,https://goldapple.ru/19000025885-3d-effect-ob-em-razdelenie-izgib,19000025885
"Тушь для ресниц Luxvisage 3D effect "" объём - длина - Ультра черная "" 10г",N/A,LUXVISAGE,4.6,0,233,RUB,https://goldapple.ru/19000025884-3d-effect-ob-em-dlina,19000025884
"Крем Novosvit гиалуроновый - филлер для кожи вокруг глаз "" AquaFiller "" 20мл",N/A,NOVOSVIT,4,0,138,RUB,https://goldapple.ru/19000002823-aquafiller,19000002823
Подводка для век Luxvisage Matt Tattoo Waterproof 24H Черная,N/A,LUXVISAGE,4.2,0,281,RUB,https://goldapple.ru/19000025922-matt-tattoo-waterproof-24h-smudgeproof,19000025922
Подводка для век Luxvisage Matt Tattoo Waterproof 24H Черная,N/A,LUXVISAGE,4.3,0,327,RUB,https://goldapple.ru/19000025923-vinyl-line,19000025923
Оттеночный бальзам для волос BlondEvolution Spicy Lavender 3 в 1 125мл,N/A,Blondevolution,N/A,0,199,RUB,https://goldapple.ru/19000146907-spicy-lavender,19000146907
Оттеночный бальзам для волос BlondEvolution Spicy Lavender 3 в 1 125мл,N/A,Blondevolution,N/A,0,166,RUB,https://goldapple.ru/19000146906-rose-bloom,19000146906
Оттеночный бальзам для волос BlondEvolution Spicy Lavender 3 в 1 125мл,N/A,Blondevolution,N/A,0,166,RUB,https://goldapple.ru/19000146904-fresh-mint,19000146904
Оттеночный бальзам для волос BlondEvolution Rose Bloom 3 в 1 125мл,N/A,Blondevolution,N/A,0,199,RUB,https://goldapple.ru/19000146907-spicy-lavender,19000146907
Оттеночный бальзам для волос BlondEvolution Rose Bloom 3 в 1 125мл,N/A,Blondevolution,N/A,0,166,RUB,https://goldapple.ru/19000146906-rose-bloom,19000146906
Оттеночный бальзам для волос BlondEvolution Rose Bloom 3 в 1 125мл,N/A,Blondevolution,N/A,0,166,RUB,https://goldapple.ru/19000146904-fresh-mint,19000146904
"Очищающая пенка для лица Holika Holika Daily Garden "" Camellia "" с камелией 120мл",N/A,Holika Holika,4.5,16.049382716049383,393,RUB,https://goldapple.ru/97571000019-daily-garden-kamelia,97571000019
"Очищающая пенка для лица Holika Holika Daily Garden "" Camellia "" с камелией 120мл",N/A,Holika Holika,4.6,16.049382716049383,393,RUB,https://goldapple.ru/97571000016-daily-garden-rice,97571000016
"Очищающая пенка для лица Holika Holika Daily Garden "" Camellia "" с камелией 120мл",N/A,Holika Holika,4.7,16.049382716049383,393,RUB,https://goldapple.ru/97571000018-daily-garden-goheung,97571000018
Green Mama Формула тайги очищающая пена - гель для лица ромашка и брусника 300мл,N/A,GREEN MAMA,4.8,0,368,RUB,https://goldapple.ru/19000215080-romaska-i-brusnika,19000215080
Green Mama Формула тайги очищающая пена - гель для лица ромашка и брусника 300мл,N/A,GREEN MAMA,5,0,262,RUB,https://goldapple.ru/19000286601-zelenyj-caj,19000286601
Green Mama Формула тайги очищающая пена - гель для лица ромашка и брусника 300мл,N/A,GREEN MAMA,4.5,0,215,RUB,https://goldapple.ru/6060100034-brusnika-i-chistotel,6060100034
"Крем - гель для душа Milk "" Молоко и Апельсин "" 800мл",N/A,Milk,5,7.547169811320755,261,RUB,https://goldapple.ru/19000084316-moloko-i-apel-sin,19000084316
"Крем - гель для душа Milk "" Молоко и Апельсин "" 800мл",N/A,Milk,N/A,7.547169811320755,257,RUB,https://goldapple.ru/19000227215-moloko-i-malina,19000227215
Оттеночный бальзам Тоника для волос 4.62 Neon Pink 150мл,N/A,Тоника,5,10.714285714285714,138,RUB,https://goldapple.ru/1671000001-color-evolution,1671000001
Оттеночный бальзам Тоника для волос 9.10 Дымчатый топаз 150мл,N/A,Тоника,4.2,9.836065573770492,127,RUB,https://goldapple.ru/1670100025-korica,1670100025
Оттеночный бальзам Тоника для волос 4.0 Шоколад 150мл,N/A,Тоника,4.2,11.320754716981133,127,RUB,https://goldapple.ru/1670100025-korica,1670100025
Оттеночный бальзам Тоника для волос 3.22 Ultraviolet 150мл,N/A,Тоника,N/A,10.344827586206897,133,RUB,https://goldapple.ru/19000089423-color-evolution-arkie-ottenki,19000089423
Оттеночный бальзам Тоника для волос 3.22 Ultraviolet 150мл,N/A,Тоника,N/A,10.344827586206897,127,RUB,https://goldapple.ru/1670100025-korica,1670100025
Оттеночный бальзам Тоника для волос 3.22 Ultraviolet 150мл,N/A,Artègo,N/A,0,300,RUB,https://goldapple.ru/19000026648-lo-la-mask-almond,19000026648
"Основа под макияж матирующая Luxvisage Prime Expert "" Matt & Sebum control "" Персиковый 35г",N/A,LUXVISAGE,4.2,0,249,RUB,https://goldapple.ru/19000025965-prime-expert-matt-sebum-control,19000025965
"Основа под макияж матирующая Luxvisage Prime Expert "" Matt & Sebum control "" Персиковый 35г",N/A,LUXVISAGE,4.2,0,250,RUB,https://goldapple.ru/19000068200-prime-expert-glow-skin,19000068200
"Основа под макияж матирующая Luxvisage Prime Expert "" Matt & Sebum control "" Персиковый 35г",N/A,LUXVISAGE,4.2,0,244,RUB,https://goldapple.ru/19000025962-prime-expert-pore-filler,19000025962
"Основа под макияж маскирующая покраснения Luxvisage Prime Expert "" Anti Red "" 35г",N/A,LUXVISAGE,4.2,0,250,RUB,https://goldapple.ru/19000068200-prime-expert-glow-skin,19000068200
"Основа под макияж маскирующая покраснения Luxvisage Prime Expert "" Anti Red "" 35г",N/A,LUXVISAGE,4.2,0,249,RUB,https://goldapple.ru/19000025965-prime-expert-matt-sebum-control,19000025965
"Основа под макияж маскирующая покраснения Luxvisage Prime Expert "" Anti Red "" 35г",N/A,LUXVISAGE,4.2,0,244,RUB,https://goldapple.ru/19000025962-prime-expert-pore-filler,19000025962
Экспресс пилинг для ног Skinlite 20г,N/A,Skinlite,N/A,22.22222222222222,262,RUB,https://goldapple.ru/19760329640-express-heel-peeling,19760329640
Экспресс пилинг для ног Skinlite 20г,N/A,Compliment,N/A,0,413,RUB,https://goldapple.ru/19000049517-after-face-peeling,19000049517
Экспресс пилинг для ног Skinlite 20г,N/A,Aravia Laboratories,N/A,0,356,RUB,https://goldapple.ru/19760311237-hydra-boost-mask,19760311237
Мицеллярная вода для лица Green Mama для бережного и эффективного очищения 500мл,N/A,GREEN MAMA,4.4,0,118,RUB,https://goldapple.ru/6060100087-dlja-snjatija-makijazha,6060100087
Мицеллярная вода для лица Green Mama для бережного и эффективного очищения 500мл,N/A,GREEN MAMA,4.5,0,193,RUB,https://goldapple.ru/6060100052-vasil-kovaja-voda-i-ovjos,6060100052
Укрепляющий кондиционер для волос Concept Biotin Secrets 500мл,N/A,Concept,4,11.29032258064516,406,RUB,https://goldapple.ru/19000111292-biotin-secrets,19000111292
Укрепляющий кондиционер для волос Concept Biotin Secrets 500мл,N/A,Concept,4,11.29032258064516,532,RUB,https://goldapple.ru/19000111294-biotin-secrets,19000111294
Укрепляющий кондиционер для волос Concept Biotin Secrets 500мл,N/A,Concept,5,11.29032258064516,398,RUB,https://goldapple.ru/19000111293-biotin-secrets,19000111293
"Укрепляющий лак для ногтей Frenchi Умная эмаль 357 , 11мл",N/A,FRENCHI,4.3,0,172,RUB,https://goldapple.ru/19000085145-treatment-nail-polish,19000085145
"Укрепляющий лак для ногтей Frenchi Умная эмаль 387 , 11мл",N/A,FRENCHI,N/A,0,172,RUB,https://goldapple.ru/19000085145-treatment-nail-polish,19000085145
"Укрепляющий лак для ногтей Frenchi Умная эмаль 387 , 11мл",N/A,BERENICE,N/A,0,427,RUB,https://goldapple.ru/19000062970-nekusajka,19000062970
"Укрепляющий лак для ногтей Frenchi Умная эмаль 387 , 11мл",N/A,KIKI,N/A,0,117,RUB,https://goldapple.ru/19000052781-gel-effect,19000052781
Лак для ногтей Jeanmishel Crystal 708 Сиренево-серебристый блестящий 12мл,N/A,Jeanmishel ,3.9,15.068493150684931,104,RUB,https://goldapple.ru/19000046831-formula,19000046831
Лак для ногтей Jeanmishel Crystal 708 Сиренево-серебристый блестящий 12мл,N/A,Jeanmishel ,4.5,15.068493150684931,116,RUB,https://goldapple.ru/19000046797-crystal,19000046797
"Укрепляющий лак для ногтей Frenchi Умная эмаль 300 , 11мл",N/A,FRENCHI,N/A,0,172,RUB,https://goldapple.ru/13530800099-treatment-nail-polish,13530800099
"Укрепляющий лак для ногтей Frenchi Умная эмаль 300 , 11мл",N/A,FRENCHI,N/A,0,172,RUB,https://goldapple.ru/19000085145-treatment-nail-polish,19000085145
"Укрепляющий лак для ногтей Frenchi Умная эмаль 300 , 11мл",N/A,BERENICE,N/A,0,427,RUB,https://goldapple.ru/19000062970-nekusajka,19000062970
"Укрепляющий лак для ногтей Frenchi Умная эмаль 365 , 11мл",N/A,FRENCHI,N/A,0,172,RUB,https://goldapple.ru/19000085145-treatment-nail-polish,19000085145
"Укрепляющий лак для ногтей Frenchi Умная эмаль 365 , 11мл",N/A,BERENICE,N/A,0,427,RUB,https://goldapple.ru/19000062970-nekusajka,19000062970
"Укрепляющий лак для ногтей Frenchi Умная эмаль 365 , 11мл",N/A,KIKI,N/A,0,117,RUB,https://goldapple.ru/19000052781-gel-effect,19000052781
"Укрепляющий лак для ногтей Frenchi Умная эмаль 379 , 11мл",N/A,FRENCHI,N/A,0,172,RUB,https://goldapple.ru/19000085145-treatment-nail-polish,19000085145
"Укрепляющий лак для ногтей Frenchi Умная эмаль 379 , 11мл",N/A,BERENICE,N/A,0,427,RUB,https://goldapple.ru/19000062970-nekusajka,19000062970
"Укрепляющий лак для ногтей Frenchi Умная эмаль 379 , 11мл",N/A,KIKI,N/A,0,117,RUB,https://goldapple.ru/19000052781-gel-effect,19000052781
Лак для ногтей Jeanmishel Crystal 707 Фиолетово-серебристый блестящий 12мл,N/A,Jeanmishel ,3.9,14.864864864864865,104,RUB,https://goldapple.ru/19000046831-formula,19000046831
Лак для ногтей Jeanmishel Crystal 707 Фиолетово-серебристый блестящий 12мл,N/A,Jeanmishel ,4.5,14.864864864864865,116,RUB,https://goldapple.ru/19000046797-crystal,19000046797
"Укрепляющий лак для ногтей Frenchi Умная эмаль 356 , 11мл",N/A,FRENCHI,4.2,0,172,RUB,https://goldapple.ru/19000085157-treatment-nail-polish,19000085157
Лак для ногтей Jeanmishel Crystal 727 Голубой блестящий 12мл,N/A,Jeanmishel ,4.5,18.333333333333332,116,RUB,https://goldapple.ru/19000046797-crystal,19000046797
"Активирующий крем Green Mama дневной - гидролифтинг для лица "" фиалка и алтей "" 100мл",N/A,GREEN MAMA,5,0,275,RUB,https://goldapple.ru/19000255742-fialka-i-altej,19000255742
"Активирующий крем Green Mama дневной - гидролифтинг для лица "" фиалка и алтей "" 100мл",N/A,GREEN MAMA,4,0,307,RUB,https://goldapple.ru/6060100041-ussurijskij-hmel-i-vitamin-e,6060100041
"Увлажняющий крем для кожи вокруг глаз Nextbeau Hyaluronic Solution "" Ultra Moist Eye Cream "" с гиалуроновой кислотой 30мл",N/A,NEXTBEAU,3.8,0,418,RUB,https://goldapple.ru/19000035118-hyaluronic-solution-moist-peeling-gel,19000035118
"Увлажняющий крем для кожи вокруг глаз Nextbeau Hyaluronic Solution "" Ultra Moist Eye Cream "" с гиалуроновой кислотой 30мл",N/A,NEXTBEAU,N/A,0,867,RUB,https://goldapple.ru/19000035136-hyaluronic-solution-moist-ampoule,19000035136
"Увлажняющий крем для кожи вокруг глаз Nextbeau Hyaluronic Solution "" Ultra Moist Eye Cream "" с гиалуроновой кислотой 30мл",N/A,NEXTBEAU,5,0,708,RUB,https://goldapple.ru/19000035127-hyaluronic-solution-moist-lotion,19000035127
Крем - сыворотка для рук Consly с экстрактом авокадо 100мл,N/A,CONSLY,4.1,0,178,RUB,https://goldapple.ru/19760345937-shea-butter-hand-essence-cream,19760345937
Крем - сыворотка для рук Consly с экстрактом авокадо 100мл,N/A,CONSLY,4.2,0,169,RUB,https://goldapple.ru/19760345936-peach-hand-essence-cream,19760345936
Крем - сыворотка для рук Consly с экстрактом авокадо 100мл,N/A,CONSLY,5,0,184,RUB,https://goldapple.ru/19760345933-avocado-hand-essence-cream,19760345933
Бальзам для губ Beauty Bomb Hempt 18мл,N/A,Beauty Bomb,4.5,28.947368421052634,224,RUB,https://goldapple.ru/19000202587-lip-balm-hempt,19000202587
Тени для век Farres Glitter Черный 3г,N/A,FARRES,N/A,0,124,RUB,https://goldapple.ru/19000066384-eye-shadows-glitter,19000066384
Тени для век Farres Glitter Черный 3г,N/A,FARRES,N/A,0,170,RUB,https://goldapple.ru/19000066380-eye-shadows-glitter,19000066380
Тени для век Farres Glitter Черный 3г,N/A,LUXVISAGE,N/A,0,206,RUB,https://goldapple.ru/19000053855-glitter-rock,19000053855
"Отшелушивающий пилинг Holika Holika для лица "" Smoothie Peeling Gel Berry Apple Festival "" 120мл",N/A,Holika Holika,4.1,13.541666666666666,776,RUB,https://goldapple.ru/97571500004-smoothie-peeling-mist,97571500004
"Отшелушивающий пилинг Holika Holika для лица "" Smoothie Peeling Gel Berry Apple Festival "" 120мл",N/A,Holika Holika,4.6,13.541666666666666,901,RUB,https://goldapple.ru/97582100001-sleek-egg-skin,97582100001
"Отшелушивающий пилинг Holika Holika для лица "" Smoothie Peeling Gel Berry Apple Festival "" 120мл",N/A,Holika Holika,4.9,13.541666666666666,855,RUB,https://goldapple.ru/97571500003-smoothie-peeling-gel-berry-apple-festival,97571500003
Укрепляющая маска для волос Concept Biotin Secrets 400мл,N/A,Concept,5,12.5,398,RUB,https://goldapple.ru/19000111293-biotin-secrets,19000111293
Укрепляющая маска для волос Concept Biotin Secrets 400мл,N/A,Concept,4,12.5,532,RUB,https://goldapple.ru/19000111294-biotin-secrets,19000111294
Укрепляющая маска для волос Concept Biotin Secrets 400мл,N/A,Concept,4,12.5,406,RUB,https://goldapple.ru/19000111292-biotin-secrets,19000111292
Двухцветный корректор - стик для скульптурирования лица Ninelle Artificio 401 6г,N/A,NINELLE,4.4,0,496,RUB,https://goldapple.ru/19760325233-artificio,19760325233
